"IDPOP","TIME_SEQ","SEQ_COUNT"
102882,36.3232876712329,11
9013,35.9123287671233,11
6676,38.6054794520548,11
88311,38.3506849315068,11
12434,39.0986301369863,11
10929,36.7315068493151,11
125285,37.7972602739726,11
7980,38.9616438356164,11
3350,35.6602739726027,11
16423,39.427397260274,11
16471,39.7068493150685,11
16845,40.0219178082192,11
11321,39.4575342465753,11
102890,35.4246575342466,11
127044,35.1013698630137,11
102607,37.8931506849315,11
5795,36.3068493150685,11
11792,38.8849315068493,11
109344,38.9506849315068,11
282,36.5671232876712,11
99557,35.8027397260274,11
87053,38.7917808219178,11
107858,36.1616438356164,11
125475,36.7424657534247,11
9872,40.8520547945205,11
131526,37.9945205479452,11
16809,35.9561643835616,11
12400,37.1287671232877,11
123991,40.3917808219178,11
1354,40.9287671232877,11
6279,38.0712328767123,11
15415,37.3068493150685,11
12279,40.6356164383562,11
2253,36.5479452054795,11
98449,36.0986301369863,11
14398,40.3808219178082,11
123222,35.0904109589041,11
105051,38.0986301369863,11
85422,36.1068493150685,11
96192,39.8520547945205,11
18216,37.2520547945205,11
85975,38.9041095890411,11
124786,38.5917808219178,11
18047,40.9150684931507,11
123731,37.827397260274,11
113680,36.3397260273973,11
10981,38.641095890411,11
111466,38.6054794520548,11
911,36.6383561643836,11
113910,35.7616438356164,11
111248,36.2931506849315,11
16279,40.5041095890411,11
17826,40.7698630136986,11
2516,35.1232876712329,11
7349,37.6383561643836,11
5987,39.8986301369863,11
116198,40.5178082191781,11
16873,40.5643835616438,11
11128,39.8520547945205,11
19890,40.3780821917808,11
89849,40.9808219178082,11
116200,40.0356164383562,11
11698,35.1534246575342,11
3567,37.6383561643836,11
11364,35.6575342465753,11
13275,40.2027397260274,11
10040,37.4821917808219,11
143776,40.6520547945205,11
116787,40.958904109589,11
12537,37.1315068493151,11
8051,36.6821917808219,11
123179,39.3068493150685,11
88637,38.5013698630137,11
89715,39.1342465753425,11
5629,40.9643835616438,11
10970,38.7698630136986,11
123553,38.1671232876712,11
88781,40.4712328767123,11
103540,35.5068493150685,11
127900,40.9890410958904,11
130468,38.3123287671233,11
88552,40.0794520547945,11
6067,36.1287671232877,11
97799,39.1424657534247,11
11104,35.813698630137,11
13985,38.9561643835616,11
104800,36.1123287671233,11
67337,38.6931506849315,11
100347,39.4082191780822,11
14957,37.8164383561644,11
84022,38.9616438356164,11
83470,37.1643835616438,11
85928,40.9260273972603,11
12775,38.8301369863014,11
94400,39.1287671232877,11
102232,38.8931506849315,11
114420,39.1232876712329,11
110401,36.027397260274,11
7971,35.5397260273973,11
769,37.4821917808219,11
141447,39.7890410958904,11
110308,39.5671232876712,11
104094,37.1616438356164,11
14848,37.8,11
5012,40.4904109589041,11
4029,37.772602739726,11
125119,36.2356164383562,11
96640,37.2712328767123,11
9132,40.0849315068493,11
106654,40.6520547945205,11
98015,39.1890410958904,11
17374,37.1835616438356,11
1140,36.6794520547945,11
17905,37.4164383561644,11
68431,36.6301369863014,11
80052,36.8082191780822,11
83333,36.5315068493151,11
15576,39.4630136986301,11
10031,39.813698630137,11
17848,39.1315068493151,11
123695,38.5068493150685,11
1769,36.7753424657534,11
108785,38.8164383561644,11
127060,39.7205479452055,11
124426,40.6986301369863,11
134182,39.2328767123288,11
10995,40.7972602739726,11
143313,39.6246575342466,11
9254,38.6164383561644,11
17572,38.0821917808219,11
4731,40.813698630137,11
122696,40.1041095890411,11
89897,37.413698630137,11
17756,39.958904109589,11
105402,35.786301369863,11
127451,40.2246575342466,11
102519,36.2438356164384,11
74436,38.5835616438356,11
15518,37.3917808219178,11
15160,36.6547945205479,11
101838,39.1534246575342,11
10453,38.6164383561644,11
104890,40.4547945205479,11
105407,40.7890410958904,11
115467,36.8054794520548,11
121520,39.6904109589041,11
16083,38.3479452054795,11
132245,35.3835616438356,11
92237,35.6356164383562,11
19373,39.4383561643836,11
5464,40.0301369863014,11
123026,39.6,11
140253,37.9342465753425,11
19830,39.758904109589,11
8006,36.3835616438356,11
2488,40.9698630136986,11
