"time","IDs","migrant"
14600,3340,"21"
14600,3341,"21"
14600,3350,"21"
14600,3351,"21"
14600,3352,"21"
14600,3353,"21"
14600,3358,"21"
14600,3360,"21"
14600,3361,"21"
14600,3365,"21"
14600,3370,"21"
14600,3373,"21"
14600,3375,"21"
14600,3376,"21"
14600,3378,"21"
14600,3381,"21"
14600,3385,"21"
14600,3387,"21"
14600,3388,"21"
14600,3391,"21"
14600,3392,"21"
14600,3393,"21"
14600,3395,"21"
14600,3396,"21"
14600,3400,"21"
14600,3402,"21"
14600,3405,"21"
14600,3407,"21"
14600,3409,"21"
14600,3410,"21"
14600,3411,"21"
14600,3412,"21"
14600,3413,"21"
14600,3414,"21"
14600,3416,"21"
14600,3418,"21"
14600,3419,"21"
14600,3422,"21"
14600,3425,"21"
14600,3428,"21"
14600,3433,"21"
14600,3434,"21"
14600,3435,"21"
14600,3439,"21"
14600,3440,"21"
14600,3443,"21"
14600,3445,"21"
14600,3446,"21"
14600,3449,"21"
14600,3450,"21"
14600,3452,"21"
14600,3453,"21"
14600,3454,"21"
14600,3455,"21"
14600,3456,"21"
14600,3458,"21"
14600,3460,"21"
14600,3466,"21"
14600,3467,"21"
14600,3469,"21"
14600,3470,"21"
14600,3473,"21"
14600,3475,"21"
14600,3476,"21"
14600,3479,"21"
14600,3480,"21"
14600,3484,"21"
14600,3486,"21"
14600,3487,"21"
14600,3492,"21"
14600,3495,"21"
14600,3497,"21"
14600,3501,"21"
14600,3502,"21"
14600,3504,"21"
14600,3505,"21"
14600,3507,"21"
14600,3508,"21"
14600,3509,"21"
14600,3510,"21"
14600,3512,"21"
14600,3516,"21"
14600,3517,"21"
14600,3520,"21"
14600,3522,"21"
14600,3524,"21"
14600,3525,"21"
14600,3529,"21"
14600,3530,"21"
14600,3534,"21"
14600,3536,"21"
14600,3538,"21"
14600,3541,"21"
14600,3544,"21"
14600,3545,"21"
14600,3546,"21"
14600,3548,"21"
14600,3549,"21"
14600,3550,"21"
