"time","global","region"
891,60933,20189
892,60934,20189
893,60936,20189
894,60936,20189
895,60938,20188
896,60939,20188
897,60938,20189
898,60938,20189
899,60939,20189
900,60939,20190
901,60939,20190
902,60940,20189
903,60941,20190
904,60942,20191
905,60944,20193
906,60944,20193
907,60945,20193
908,60946,20194
909,60946,20194
910,60947,20194
911,60948,20195
912,60950,20196
913,60951,20195
914,60952,20194
915,60952,20194
916,60954,20194
917,60956,20194
918,60958,20194
919,60960,20195
920,60960,20194
921,60961,20195
922,60963,20195
923,60964,20196
924,60966,20196
925,60967,20196
926,60966,20197
927,60968,20198
928,60970,20198
929,60973,20198
930,60975,20197
931,60975,20198
932,60976,20198
933,60974,20199
934,60975,20199
935,60976,20199
936,60977,20199
937,60978,20198
938,60977,20199
939,60980,20201
940,60980,20201
941,60977,20202
942,60977,20202
943,60979,20204
944,60977,20204
945,60979,20204
946,60979,20205
947,60979,20205
948,60979,20205
949,60979,20206
950,60979,20206
951,60980,20207
952,60980,20208
953,60980,20209
954,60980,20209
955,60981,20209
956,60984,20209
957,60984,20209
958,60984,20209
959,60985,20209
960,60986,20209
961,60986,20209
962,60989,20210
963,60990,20209
964,60990,20207
965,60992,20208
966,60993,20208
967,60994,20208
968,60995,20208
969,60995,20208
970,60998,20210
971,61000,20211
972,61001,20211
973,61002,20211
974,61002,20211
975,61004,20211
976,61006,20212
977,61007,20212
978,61008,20212
979,61010,20213
980,61008,20213
981,61008,20214
982,61008,20214
983,61007,20215
984,61007,20215
985,61009,20215
986,61011,20214
987,61011,20214
988,61012,20214
989,61014,20214
990,61015,20214
991,61016,20214
992,61016,20215
993,61016,20215
994,61017,20215
995,61019,20214
996,61023,20214
997,61023,20214
998,61025,20214
999,61027,20214
1000,61028,20214
1001,61029,20214
1002,61031,20216
1003,61033,20215
1004,61034,20216
1005,61036,20216
1006,61037,20216
1007,61040,20216
1008,61041,20216
1009,61042,20216
1010,61041,20216
1011,61044,20217
1012,61045,20218
1013,61045,20218
1014,61046,20218
1015,61047,20218
1016,61049,20220
1017,61050,20220
1018,61052,20220
1019,61053,20219
1020,61051,20219
1021,61055,20218
1022,61055,20218
1023,61056,20219
1024,61055,20220
1025,61057,20219
1026,61058,20220
1027,61057,20221
1028,61059,20221
1029,61060,20221
1030,61060,20221
1031,61062,20221
1032,61062,20221
1033,61062,20221
1034,61063,20222
1035,61066,20223
1036,61066,20224
1037,61066,20224
1038,61067,20224
1039,61068,20225
1040,61069,20226
1041,61071,20226
1042,61074,20226
1043,61074,20226
1044,61077,20226
1045,61078,20228
1046,61077,20229
1047,61080,20229
1048,61083,20229
1049,61083,20229
1050,61086,20229
1051,61088,20229
1052,61089,20229
1053,61089,20229
1054,61090,20229
1055,61092,20229
1056,61092,20230
1057,61091,20232
1058,61091,20232
1059,61092,20232
1060,61092,20233
1061,61094,20233
1062,61096,20232
1063,61097,20232
1064,61097,20234
1065,61097,20234
1066,61098,20234
1067,61101,20235
1068,61103,20235
1069,61106,20235
1070,61111,20235
1071,61111,20235
1072,61112,20235
1073,61111,20235
1074,61111,20236
1075,61112,20236
1076,61113,20236
1077,61113,20236
1078,61113,20236
1079,61116,20234
1080,61118,20234
1081,61121,20234
1082,61122,20235
1083,61124,20235
1084,61127,20235
1085,61126,20235
1086,61127,20236
1087,61127,20236
1088,61128,20236
1089,61131,20236
1090,61131,20236
1091,61132,20236
1092,61135,20237
1093,61138,20237
1094,61140,20237
1095,61142,20237
1096,61143,20238
1097,61143,20237
1098,61145,20235
1099,61146,20235
1100,61149,20235
1101,61148,20235
1102,61152,20235
1103,61152,20235
1104,61157,20235
1105,61158,20235
1106,61161,20236
1107,61161,20236
1108,61164,20236
1109,61164,20237
1110,61165,20238
1111,61164,20238
1112,61164,20239
1113,61163,20239
1114,61165,20238
1115,61166,20238
1116,61166,20238
1117,61168,20239
1118,61170,20238
1119,61171,20238
1120,61173,20238
1121,61173,20239
1122,61175,20238
1123,61175,20239
1124,61175,20239
1125,61175,20240
1126,61176,20240
1127,61176,20240
1128,61178,20241
1129,61179,20241
1130,61179,20242
1131,61179,20242
1132,61180,20243
1133,61179,20244
1134,61177,20245
1135,61178,20245
1136,61180,20245
1137,61181,20245
1138,61181,20247
1139,61182,20247
1140,61182,20247
1141,61182,20247
1142,61182,20247
1143,61181,20249
1144,61182,20249
1145,61184,20249
1146,61189,20249
1147,61189,20249
1148,61191,20249
1149,61191,20249
1150,61193,20250
1151,61194,20250
1152,61195,20250
1153,61195,20250
1154,61195,20250
1155,61195,20250
1156,61195,20251
1157,61197,20251
1158,61198,20251
1159,61198,20251
1160,61199,20250
1161,61203,20249
1162,61202,20250
1163,61204,20249
1164,61204,20249
1165,61206,20249
1166,61207,20249
1167,61209,20249
1168,61210,20248
1169,61212,20249
1170,61211,20250
1171,61211,20251
1172,61212,20251
1173,61212,20250
1174,61213,20249
1175,61213,20250
1176,61213,20249
1177,61213,20250
1178,61212,20251
1179,61213,20251
1180,61213,20251
1181,61214,20251
1182,61215,20251
1183,61214,20251
1184,61213,20252
1185,61212,20252
1186,61213,20252
1187,61213,20253
1188,61216,20254
1189,61220,20254
1190,61221,20254
1191,61221,20254
1192,61222,20254
1193,61220,20256
1194,61222,20256
1195,61223,20256
1196,61224,20255
1197,61223,20257
1198,61225,20256
1199,61226,20256
1200,61227,20256
1201,61231,20255
1202,61232,20256
1203,61233,20256
1204,61232,20256
1205,61234,20257
1206,61235,20257
1207,61235,20257
1208,61237,20257
1209,61240,20259
1210,61241,20258
1211,61240,20257
1212,61240,20257
1213,61242,20257
1214,61242,20258
1215,61244,20257
1216,61245,20258
1217,61247,20258
1218,61247,20258
1219,61246,20259
