"time","r0"
7003,0
7004,0
7004,0
7005,0
7006,0
7006,1
7006,0
7007,0
7009,0
7010,0
7011,1
7011,2
7012,0
7012,0
7012,1
7013,0
7014,0
7014,0
7017,5
7018,0
7019,2
7019,0
7020,0
7020,5
7020,0
7021,0
7023,0
7025,0
7027,0
7028,0
7030,0
7030,0
7030,7
7033,1
7033,0
7036,4
7036,0
7037,1
7037,2
7037,6
7038,6
7038,11
7038,0
7039,1
7041,1
7042,2
7043,0
7043,2
7045,0
7045,1
7046,0
7046,0
7047,0
7048,0
7051,0
7051,0
7052,0
7055,0
7056,0
7056,5
7057,0
7058,2
7058,5
7059,1
7060,0
7061,2
7061,1
7061,1
7061,0
7062,0
7063,8
7063,0
7064,0
7065,0
7066,0
7069,1
7070,1
7070,1
7071,4
7071,2
7071,1
7073,5
7074,0
7074,3
7075,2
7075,3
7075,0
7076,0
7077,2
7077,1
7078,0
7081,0
7082,3
7083,0
7084,1
7085,0
7085,1
7086,0
7086,0
7088,0
7089,1
7089,0
7090,13
7091,5
7091,0
7092,0
7092,4
7094,7
7095,0
7096,6
7098,2
7098,0
7098,0
7099,1
7100,0
7100,0
7101,3
7101,2
7102,0
7104,14
7104,1
7104,2
7104,0
7105,0
7105,0
7109,0
7109,0
7109,0
7109,0
7110,0
7110,3
7111,0
7111,0
7112,7
7114,3
7115,0
7115,0
7115,1
7116,0
7116,1
7116,0
7117,1
7117,1
7117,0
7118,4
7118,5
7119,8
7119,2
7119,2
7121,0
7123,1
7124,1
7126,1
7128,0
7131,0
7131,0
7134,1
7134,0
7137,0
7137,2
7139,0
7140,0
7140,0
7140,1
7142,0
7143,1
7145,2
7147,0
7148,2
7148,0
7149,1
7151,0
7151,1
7152,0
7153,1
7153,5
7154,6
7157,0
7157,0
7157,1
7158,0
7159,0
7160,0
7162,5
7163,1
7164,4
7165,0
7165,3
7166,0
7167,4
7168,0
7170,0
7171,8
7171,5
7172,0
7174,0
7176,0
7177,0
7177,0
7178,0
7178,1
7179,0
7181,0
7182,5
7182,2
7182,2
7183,0
7184,0
7184,2
7184,9
7184,2
7185,0
7186,5
7186,0
7188,0
7189,0
7190,0
7190,2
7191,0
7192,5
7193,0
7195,0
7195,4
7195,10
7196,0
7197,1
7197,0
7200,1
7200,0
7200,0
7202,1
7203,0
7204,0
7204,0
7205,0
7205,0
7205,7
7208,0
7210,3
7210,0
7210,0
7210,0
7212,1
7212,0
7213,0
7213,1
7213,0
7215,0
7216,4
7216,1
7216,0
7219,1
7220,2
7220,0
7220,1
7220,1
7221,3
7221,1
7223,1
7223,0
7223,4
7224,1
7224,0
7226,1
7228,0
7230,2
7233,2
7233,2
7235,1
7235,0
7236,1
7239,0
7239,1
7239,1
7239,0
7239,9
7240,0
7241,1
7243,0
7245,1
7247,0
7249,2
7250,0
7251,0
